TEAM,SEASON_YEAR,TEAM_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
OKC,2021.725947521866,1610612760.0,0.4752186588921283,48.291545189504376,41.38483965014577,90.00583090379008,0.4606064139941691,12.478134110787172,35.53061224489796,0.35186880466472303,16.810495626822156,21.46064139941691,0.7826180758017492,10.160349854227405,33.99125364431487,44.15160349854227,24.134110787172013,13.73469387755102,8.16326530612245,5.049562682215743,5.437317784256559,19.230320699708454,18.886297376093296,112.05830903790087,-1.2536443148688046,1.0,612.1661807580175,612.1661807580175,612.1661807580175,114.92419825072886,1099.1137026239066,949.6559766763849,1248.2507288629738,1073.1195335276968,1025.276967930029,1190.4897959183672,1135.399416909621,1152.0758017492712,1083.402332361516,1078.6297376093294,1035.5247813411079,1063.5276967930029,1260.201166180758,1031.0204081632653,918.0087463556852,972.8192419825073,1150.1107871720117,1023.7230320699708,1140.533527696793,1163.603498542274,1177.8425655976675
ORL,2021.7391304347825,1610612753.0,0.40869565217391307,48.20289855072464,39.35072463768116,86.9768115942029,0.45378550724637684,11.252173913043478,33.16811594202898,0.339695652173913,17.68695652173913,22.779710144927535,0.7776550724637681,10.095652173913043,33.553623188405794,43.64927536231884,23.452173913043477,14.373913043478261,7.48695652173913,4.846376811594203,4.9797101449275365,19.310144927536232,19.782608695652176,107.64057971014493,-3.6579710144927535,1.0,681.3768115942029,681.3768115942029,681.3768115942029,116.2231884057971,1321.2579710144928,1207.7333333333333,1311.5101449275362,1278.1159420289855,1269.4695652173914,1276.7159420289854,1042.8289855072464,1037.9246376811593,1147.9478260869564,1071.3797101449275,1054.623188405797,1093.6347826086956,1314.5014492753623,1149.0608695652174,1045.9797101449276,1016.4550724637681,1049.9536231884058,1043.431884057971,1008.5710144927536,1371.6202898550725,1273.4
PHI,2021.7126099706745,1610612755.0,0.6099706744868035,48.381231671554254,40.56304985337243,86.12023460410558,0.4719237536656891,11.882697947214076,32.26392961876833,0.36767155425219944,19.78592375366569,24.41348973607038,0.8096598240469208,9.653958944281525,32.9266862170088,42.58064516129032,24.19941348973607,13.217008797653959,8.290322580645162,5.442815249266862,5.067448680351906,20.114369501466275,19.60117302052786,112.79472140762464,3.219941348973607,1.0,430.5483870967742,430.5483870967742,430.5483870967742,114.66568914956012,1185.058651026393,1318.1730205278593,1096.1642228739004,1160.967741935484,1352.6862170087977,1046.08211143695,841.2961876832844,915.2492668621701,898.7448680351906,1174.3049853372434,1148.4046920821115,1215.642228739003,1216.9208211143696,927.5102639296188,866.0997067448681,839.2961876832844,1055.1055718475072,1179.6715542521995,1052.2463343108504,1104.9384164222874,953.2023460410558
PHX,2021.719298245614,1610612756.0,0.6491228070175439,48.292397660818715,42.68421052631579,88.43859649122807,0.48377777777777775,12.505847953216374,33.3421052631579,0.37403216374269005,17.038011695906434,21.146198830409357,0.8071432748538012,10.105263157894736,33.98830409356725,44.09356725146199,27.160818713450293,13.538011695906432,7.60233918128655,5.011695906432749,4.067251461988304,19.47953216374269,19.18421052631579,114.91228070175438,4.219298245614035,1.0,395.90058479532166,395.90058479532166,395.90058479532166,115.77777777777777,907.3040935672515,1068.423976608187,967.6549707602339,1091.1023391812867,1274.423976608187,1039.0584795321638,1120.7134502923977,1202.7631578947369,951.078947368421,1090.9415204678362,1018.3830409356725,1061.2602339181287,840.7076023391813,1004.640350877193,1002.3362573099415,962.7543859649123,803.8888888888889,1083.0730994152048,1093.1432748538011,997.4473684210526,911.8830409356725
POR,2021.725947521866,1610612757.0,0.3819241982507289,48.18950437317784,39.81049562682216,88.30903790087464,0.45215743440233236,13.026239067055394,36.329446064139944,0.3572332361516035,17.44606413994169,22.072886297376094,0.7900408163265306,10.93002915451895,31.690962099125365,42.62099125364431,22.8600583090379,14.113702623906706,7.4169096209912535,4.688046647230321,5.215743440233236,20.06122448979592,19.230320699708454,110.0932944606414,-5.539358600583091,1.0,705.7871720116618,705.7871720116618,705.7871720116618,116.92419825072886,1282.5131195335277,1109.8979591836735,1324.4256559766764,975.5655976676385,945.5568513119533,1139.1078717201167,1085.1137026239066,1114.1020408163265,1070.469387755102,965.7930029154519,1304.5830903790088,1213.8629737609328,1382.265306122449,1086.145772594752,1049.723032069971,1047.4577259475218,1084.4518950437318,1151.1749271137026,1091.7463556851312,1247.4868804664723,1326.2244897959183
SAC,2021.7325581395348,1610612758.0,0.4883720930232558,48.31976744186046,42.52906976744186,88.96511627906976,0.47882558139534886,12.875,35.776162790697676,0.3593081395348837,17.50581395348837,22.828488372093023,0.7635377906976744,9.86046511627907,32.92732558139535,42.78779069767442,26.191860465116278,13.529069767441861,7.401162790697675,4.267441860465116,4.5,19.549418604651162,19.578488372093023,115.43895348837209,-0.7877906976744186,1.0,580.1511627906976,580.1511627906976,580.1511627906976,115.31395348837209,951.5290697674419,1033.2906976744187,1023.4680232558139,993.1366279069767,982.875,1128.0,1056.828488372093,1033.6598837209303,1225.4127906976744,1135.5348837209303,1148.1860465116279,1192.8459302325582,961.3430232558139,1015.9040697674419,1067.7994186046512,1168.3023255813953,907.7122093023256,1080.3343023255813,1026.6453488372092,980.3720930232558,1151.3226744186047
SAS,2021.725947521866,1610612759.0,0.36151603498542273,48.37900874635569,42.349854227405245,91.33819241982508,0.46463556851311955,11.466472303206997,32.89795918367347,0.34821574344023326,16.163265306122447,21.014577259475217,0.7684285714285715,10.68804664723032,33.629737609329446,44.31778425655977,27.495626822157433,13.787172011661808,7.221574344023324,5.166180758017493,4.956268221574344,18.163265306122447,18.542274052478135,112.32944606413994,-4.399416909620991,1.0,739.4023323615161,739.4023323615161,739.4023323615161,113.6938775510204,944.7434402332361,807.2594752186588,1191.67055393586,1254.7142857142858,1279.1137026239066,1220.0962099125366,1236.5102040816328,1224.7317784256559,1221.4752186588921,975.3265306122449,1071.6472303206997,1046.466472303207,803.8309037900875,1054.2215743440233,1071.262390670554,943.0495626822158,1028.8134110787173,869.332361516035,1207.5131195335277,1146.5860058309038,1313.4139941690962
TOR,2021.7325581395348,1610612761.0,0.43023255813953487,48.30523255813954,41.241279069767444,90.36337209302326,0.45732267441860464,12.017441860465116,34.39825581395349,0.34849418604651167,17.011627906976745,21.959302325581394,0.7760029069767441,11.779069767441861,31.63953488372093,43.41860465116279,24.950581395348838,13.07267441860465,8.613372093023257,4.941860465116279,5.308139534883721,19.950581395348838,19.037790697674417,111.51162790697674,-1.119186046511628,1.0,635.0232558139535,635.0232558139535,635.0232558139535,115.37209302325581,1120.1424418604652,905.4186046511628,1289.6540697674418,1143.9883720930231,1145.328488372093,1220.5232558139535,1112.1773255813953,1116.1860465116279,1151.139534883721,830.8197674418604,1315.046511627907,1128.5494186046512,1157.375,877.8372093023256,776.0872093023256,966.2354651162791,1103.75,1109.6366279069769,1125.3808139534883,1189.2267441860465,1149.218023255814
UTA,2021.719298245614,1610612762.0,0.5087719298245614,48.219298245614034,41.40643274853801,88.2719298245614,0.4698947368421053,14.236842105263158,39.154970760233915,0.3622543859649123,18.210526315789473,22.906432748538013,0.7947339181286549,11.40643274853801,34.86257309941521,46.26900584795322,24.827485380116958,15.067251461988304,6.614035087719298,5.207602339181286,5.049707602339181,19.087719298245613,19.801169590643276,115.26023391812865,1.3333333333333333,1.0,548.9941520467836,548.9941520467836,548.9941520467836,116.50292397660819,1064.845029239766,1086.6959064327486,1132.7076023391812,789.093567251462,692.9152046783626,1117.514619883041,982.5730994152046,1031.7251461988303,1015.8976608187135,869.9444444444445,920.9327485380117,859.5087719298245,1138.157894736842,1236.0818713450292,1227.7573099415204,905.9181286549708,1030.654970760234,1011.9912280701755,1008.5175438596491,967.9619883040936,1048.7251461988303
WAS,2021.7126099706745,1610612764.0,0.35777126099706746,48.23460410557185,42.02639296187683,88.86217008797654,0.4738533724340176,11.12316715542522,32.096774193548384,0.34655718475073316,17.387096774193548,22.41348973607038,0.7758651026392962,9.375366568914956,33.800586510263926,43.17595307917889,25.865102639296186,14.049853372434018,7.090909090909091,4.906158357771261,5.0821114369501466,19.897360703812318,19.697947214076247,112.56304985337243,-4.797653958944282,1.0,724.1378299120234,724.1378299120234,724.1378299120234,116.94134897360703,1007.1906158357772,1079.3049853372434,1070.9794721407625,1305.4076246334312,1358.2844574780058,1224.0058651026393,1083.9384164222874,1092.3548387096773,1143.3284457478005,1218.2727272727273,1043.2316715542522,1163.8797653958945,1000.932551319648,1076.5601173020527,1131.3636363636363,991.932551319648,1057.3049853372434,1118.3225806451612,1029.1407624633432,1129.6275659824048,1313.6862170087977
